Date,Country,Confirmed,Deaths,Recovered
22-01-2020,China,5509,131,101
29-01-2020,China,23707,491,843
04-02-2020,China,44386,1112,4636
11-02-2020,China,74211,2003,14206
18-02-2020,China,77754,2665,27676
25-02-2020,China,80261,2947,47450
03-03-2020,China,80887,3139,60181
10-03-2020,China,81058,3230,68798
17-03-2020,China,81591,3281,73280
24-03-2020,China,82198,3308,73923
31-03-2020,China,82279,3309,73973
07-04-2020,China,82718,3335,75110
14-04-2020,China,83306,3345,75833
21-04-2020,China,83853,4636,75862
